"Worksheet 4: Average daily time (minutes) spent doing specified activities, all adults: by sex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great Britain, March to April 2020 to March 2021 and United Kingdom, March 2022 to March 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Online Time Use Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date published: 7 May 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains three tables. Tables 4a and 4b are presented next to each other horizontally with a blank column in between. Tables 4a and 4c are presented vertically with a blank row in between.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4a contains average (mean) estimates. Table 4b contains the associated confidence intervals. Table 1c contains the weighted counts and sample sizes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCL = lower confidence interval. UCL = upper confidence interval.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4a: Average daily time (minutes),,,,,,,,,,,,,,,,,,Table 4b: Associated confidence intervals ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,"Males 
March to April
2020
Mean","Females
March to April
2020
Mean","Males
September to October
2020
Mean","Females
September to October
2020
Mean","Males
March
2021
Mean","Females
March
2021
Mean","Males
March
2022
Mean","Females
March
2022
Mean","Males
November
2022
Mean","Females
November
2022
Mean","Males
March
2023
Mean","Females
March
2023
Mean","Males
September
2023
Mean","Females
September
2023
Mean","Males
March
2024
Mean","Females
March
2024
Mean",,"Males
March to April
2020
LCL","Males
March to April
2020
UCL","Females March to April 2020 
LCL","Females
March to April
2020
UCL","Males
September to October
2020
LCL","Males
September to October
2020
UCL","Females
September to October
2020
LCL","Females
September to October
2020
UCL","Males
March
2021
LCL","Males
March
2021
UCL","Females
March
2021
LCL","Females
March
2021
UCL","Males
March
2022
LCL","Males
March
2022
UCL","Females
March
2022
LCL","Females
March
2022
UCL","Males
November
2022
LCL","Males
November
2022
UCL","Females
November
2022
LCL","Females
November
2022
UCL","Males
March
2023
LCL","Males
March
2023
UCL","Females
March
2023
LCL","Females
March
2023
UCL","Males
September
2023
LCL","Males
September
2023
UCL","Females
September
2023
LCL","Females
September
2023
UCL","Males
March
2024
LCL","Males
March
2024
UCL","Females
March
2024
LCL","Females
March
2024
UCL"
Sleep and rest,553.2,544.0,528.3,525.0,523.9,537.9,521.1,531.6,533.2,535.6,534.1,538.0,536.7,548.8,536.8,542.1,,540.7,565.6,531.2,556.9,515.9,540.7,515.4,534.6,514.4,533.4,531.4,544.5,513.6,528.6,524.4,538.9,524.8,541.7,528.4,542.7,527.1,541.1,531.3,544.8,526.9,546.5,541.3,556.2,527.4,546.3,534.9,549.3
Personal care (including eating and drinking),130.3,133.4,127.9,145.8,132.8,135.8,137.7,151.4,134.7,147.1,133.3,151.8,133.6,149.1,134.8,146.9,,123.1,137.4,126.0,140.8,118.9,137.0,138.5,153.2,126.5,139.2,131.4,140.2,131.3,144.2,145.8,156.9,128.8,140.6,142.1,152.0,128.4,138.2,147.3,156.2,128.8,138.3,144.2,154.0,129.4,140.3,142.6,151.3
Travelling,16.9,17.5,57.3,51.1,34.9,31.1,55.0,48.9,62.2,53.0,60.4,60.8,77.2,73.8,73.3,70.3,,13.3,20.4,14.0,20.9,50.7,63.9,45.3,57.0,29.0,40.9,28.1,34.0,49.9,60.2,45.4,52.4,57.1,67.3,49.2,56.8,55.5,65.4,56.8,64.7,70.7,83.7,68.2,79.3,68.1,78.4,65.9,74.7
Working away from home,119.4,74.0,125.8,94.7,104.0,93.0,124.6,100.5,154.6,114.5,142.3,111.9,144.7,113.0,157.7,118.2,,98.1,140.8,57.8,90.2,100.7,151.0,80.0,109.3,88.8,119.1,82.1,103.9,110.1,139.2,89.7,111.3,137.8,171.4,104.0,125.0,129.4,155.3,102.3,121.5,131.0,158.3,102.9,123.0,143.9,171.5,108.1,128.2
Working from home,46.6,47.6,80.0,51.7,79.8,58.1,70.2,51.2,61.1,43.5,59.4,39.1,61.5,43.0,54.0,46.9,,30.9,62.3,35.1,60.0,61.5,98.5,37.6,65.8,66.3,93.4,49.4,66.9,59.2,81.3,43.2,59.2,50.9,71.2,36.7,50.2,51.2,67.6,33.7,44.6,51.4,71.5,36.2,49.7,45.0,63.0,39.4,54.5
Education and study,8.2,13.2,8.0,10.2,5.6,8.8,10.8,10.8,8.4,8.9,16.5,10.9,6.1,10.0,16.5,13.9,,1.5,15.0,5.3,21.1,2.7,13.3,0.7,19.7,2.2,8.9,3.9,13.7,6.3,15.3,6.9,14.8,4.1,12.8,5.4,12.5,9.7,23.4,7.4,14.4,2.7,9.4,6.6,13.3,8.8,24.2,9.5,18.4
Unpaid childcare,27.2,41.1,17.4,37.1,20.0,32.5,20.9,31.7,19.4,38.1,18.9,33.3,19.7,28.9,17.8,31.0,,19.1,35.2,31.2,51.0,11.4,23.4,27.8,46.3,14.6,25.4,27.7,37.3,16.3,25.5,27.3,36.2,15.7,23.1,32.9,43.2,15.0,22.8,29.3,37.3,16.3,23.1,23.8,34.1,14.6,21.0,26.8,35.2
Unpaid adult care,1.5,5.9,3.4,4.2,3.4,4.6,3.3,3.2,2.4,4.5,2.4,3.6,2.3,2.8,2.4,4.4,,0.2,2.9,1.6,10.1,0.5,6.3,1.1,7.3,1.6,5.1,2.9,6.2,1.4,5.2,1.9,4.6,1.3,3.6,2.9,6.0,1.2,3.6,2.3,4.9,1.0,3.6,1.7,4.0,1.2,3.7,2.7,6.2
Unpaid household work,120.4,171.5,97.7,161.2,119.7,177.8,121.5,172.3,117.8,168.5,135.9,178.8,116.1,170.8,115.9,164.7,,107.2,133.5,161.5,181.5,87.1,108.3,149.6,172.7,111.5,127.8,170.4,185.2,113.7,129.4,164.2,180.4,111.3,124.3,161.6,175.5,128.4,143.4,172.5,185.1,109.4,122.9,164.0,177.7,109.7,122.0,158.1,171.2
DIY or gardening,52.4,26.2,36.7,25.4,38.4,19.7,23.6,13.4,12.6,5.5,14.4,6.4,19.2,10.3,15.0,8.2,,44.1,60.7,21.7,30.6,26.0,47.3,19.0,31.7,32.9,43.9,17.0,22.3,19.9,27.3,10.4,16.5,10.0,15.2,4.3,6.7,11.7,17.1,4.9,7.9,16.2,22.2,8.5,12.1,12.1,17.8,6.4,10.0
"Volunteering as part of a group, organisation, charity or sports club",1.2,0.9,3.5,2.7,3.0,1.9,3.9,3.2,4.5,4.2,3.0,3.8,5.8,3.9,4.2,3.9,,0.3,2.0,0.0,1.8,1.9,5.2,1.3,4.2,1.5,4.4,1.0,2.7,2.4,5.4,2.0,4.4,2.7,6.3,2.3,6.0,1.9,4.0,2.5,5.0,3.6,8.0,2.4,5.4,1.9,6.4,2.2,5.5
"Entertainment, socialising and other free time",258.6,281.6,257.8,256.2,257.4,252.6,245.5,240.2,239.2,245.3,218.6,228.7,222.8,215.0,225.5,218.9,,241.3,275.9,265.4,297.9,240.1,275.4,243.3,269.1,246.2,268.7,243.6,261.6,234.1,256.9,231.4,249.0,227.3,251.0,237.1,253.6,210.1,227.2,220.7,236.7,212.5,233.2,207.0,223.0,215.0,236.0,210.5,227.4
"Exercise, sports and well-being",20.3,19.3,28.7,15.4,32.6,26.7,27.5,20.5,19.7,15.9,21.8,19.0,20.7,19.2,20.8,17.5,,16.1,24.5,15.5,23.1,21.3,36.2,12.5,18.2,25.7,39.4,23.8,29.7,23.7,31.3,17.7,23.3,16.7,22.8,13.6,18.1,19.2,24.5,16.5,21.4,18.1,23.4,16.7,21.7,17.9,23.6,15.3,19.8
Using a computer or device,64.0,39.2,49.7,34.1,64.7,36.2,58.4,35.0,53.2,35.0,59.7,36.1,57.8,34.7,53.5,36.8,,52.1,75.9,33.6,44.8,40.7,58.8,27.9,40.2,56.0,73.3,32.5,39.9,48.5,68.4,30.5,39.5,45.8,60.5,31.3,38.6,52.3,67.2,33.1,39.0,48.7,66.8,30.5,39.0,46.2,60.8,33.1,40.5
Other activities,19.9,24.6,17.7,25.3,19.9,23.3,15.8,26.0,16.9,20.5,19.0,17.9,16.0,16.7,11.9,16.2,,13.3,26.4,16.0,33.3,13.0,22.3,19.8,30.8,15.6,24.1,18.1,28.4,10.9,20.8,20.0,32.0,12.3,21.5,16.9,24.1,13.8,24.3,14.1,21.6,11.5,20.5,13.0,20.3,9.2,14.5,13.0,19.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4c: Associated weighted counts and sample sizes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,"Males 
March to April
2020","Females
March to April
2020","Males
September to October
2020","Females
September to October
2020","Males
March
2021","Females
March
2021","Males
March
2022","Females
March
2022","Males
November
2022","Females
November
2022","Males
March
2023","Females
March
2023","Males
September
2023","Females
September
2023","Males
March
2024","Females
March
2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weighted count," 24,632,573 "," 25,721,861 "," 24,632,573 "," 25,721,861 "," 23,773,695 "," 24,939,199 "," 25,607,334 "," 26,722,154 "," 25,607,334 "," 26,722,154 "," 25,678,641 "," 26,782,944 "," 25,822,549 "," 26,906,662 "," 25,751,069 "," 27,396,546 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample size, 886 ," 1,279 ", 812 ," 1,155 "," 1,530 "," 2,192 "," 1,697 "," 2,435 "," 1,585 "," 2,026 "," 2,555 "," 3,045 "," 1,769 "," 1,890 "," 1,637 "," 1,840 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,